FID,OBJECTID,SHAPE,HTXT,HTXTK,HLINIEN,DIVA_ID,LTYP,WEBLINK1,SE_ANNO_CAD_DATA
OEFFHALTESTOGD.9795444,9795444,POINT (16.384543257529177 48.151085856246574),Pensionisten-Wohnhaus Laaer Berg,Pensionisten-Wohnhaus Laaer Berg,"67A, 67B",,2,https://anachb.vor.at?P=SQ&input=Wien%20Pensionisten-Wohnhaus%20Laaer%20Berg&start=1,
OEFFHALTESTOGD.9795445,9795445,POINT (16.396356096625997 48.14936575682038),Gartenschaugasse,Gartenschaugasse,"68B, N68",,2,https://anachb.vor.at?P=SQ&input=Wien%20Gartenschaugasse&start=1,
OEFFHALTESTOGD.9795446,9795446,POINT (16.396356096625997 48.14936575682038),Gartenschaugasse,Gartenschaugasse,N68,,10,https://anachb.vor.at?P=SQ&input=Wien%20Gartenschaugasse&start=1,
OEFFHALTESTOGD.9795447,9795447,POINT (16.396356096625997 48.14936575682038),Gartenschaugasse,Gartenschaugasse,N68,,11,https://anachb.vor.at?P=SQ&input=Wien%20Gartenschaugasse&start=1,
OEFFHALTESTOGD.9795448,9795448,POINT (16.396356096625997 48.14936575682038),Gartenschaugasse,Gartenschaugasse,N68,,13,https://anachb.vor.at?P=SQ&input=Wien%20Gartenschaugasse&start=1,
OEFFHALTESTOGD.9795449,9795449,POINT (16.396356096625997 48.14936575682038),Gartenschaugasse,Gartenschaugasse,N68,,12,https://anachb.vor.at?P=SQ&input=Wien%20Gartenschaugasse&start=1,
OEFFHALTESTOGD.9795450,9795450,POINT (16.396921993548837 48.148688459536125),Gartenschaugasse,Gartenschaugasse,"68B, N68",,2,https://anachb.vor.at?P=SQ&input=Wien%20Gartenschaugasse&start=1,
OEFFHALTESTOGD.9795451,9795451,POINT (16.396921993548837 48.148688459536125),Gartenschaugasse,Gartenschaugasse,N68,,10,https://anachb.vor.at?P=SQ&input=Wien%20Gartenschaugasse&start=1,
OEFFHALTESTOGD.9795452,9795452,POINT (16.396921993548837 48.148688459536125),Gartenschaugasse,Gartenschaugasse,N68,,11,https://anachb.vor.at?P=SQ&input=Wien%20Gartenschaugasse&start=1,
OEFFHALTESTOGD.9795453,9795453,POINT (16.396921993548837 48.148688459536125),Gartenschaugasse,Gartenschaugasse,N68,,13,https://anachb.vor.at?P=SQ&input=Wien%20Gartenschaugasse&start=1,
OEFFHALTESTOGD.9795454,9795454,POINT (16.396921993548837 48.148688459536125),Gartenschaugasse,Gartenschaugasse,N68,,12,https://anachb.vor.at?P=SQ&input=Wien%20Gartenschaugasse&start=1,
OEFFHALTESTOGD.9795455,9795455,POINT (16.315597915996552 48.16647422601536),Eckartsaugasse,Eckartsaugasse,64B,,2,https://anachb.vor.at?P=SQ&input=Wien%20Eckartsaugasse&start=1,
OEFFHALTESTOGD.9795456,9795456,POINT (16.293661267778536 48.198751985776454),Hanusch-Krankenhaus,Hanusch-Krankenhaus,51A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Hanusch-Krankenhaus&start=1,
OEFFHALTESTOGD.9795457,9795457,POINT (16.47536253612686 48.16745072151392),Zinnergasse/Kaserne,Zinnergasse/Kaserne,73A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Zinnergasse/Kaserne&start=1,
OEFFHALTESTOGD.9795458,9795458,POINT (16.23331713443967 48.20620022346486),Wienflussaufsicht,Wienflussaufsicht,"453, 450, 451, N49, 50A",,3,https://anachb.vor.at?P=SQ&input=Wien%20Wienflussaufsicht&start=1,
OEFFHALTESTOGD.9795459,9795459,POINT (16.233276772961936 48.206200187391055),Wienflussaufsicht,Wienflussaufsicht,"453, 450, 451, N49, 50A",,2,https://anachb.vor.at?P=SQ&input=Wien%20Wienflussaufsicht&start=1,
OEFFHALTESTOGD.9795460,9795460,POINT (16.233276772961936 48.206200187391055),Wienflussaufsicht,Wienflussaufsicht,N49,,10,https://anachb.vor.at?P=SQ&input=Wien%20Wienflussaufsicht&start=1,
OEFFHALTESTOGD.9795461,9795461,POINT (16.233276772961936 48.206200187391055),Wienflussaufsicht,Wienflussaufsicht,N49,,11,https://anachb.vor.at?P=SQ&input=Wien%20Wienflussaufsicht&start=1,
